URL,schema blocks,types found,expected type,correct type,errors
/locations/north-york,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/richmond-hill,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/brampton,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/kitchener,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/halifax,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/surrey,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/london,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/victoria,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/windsor,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/oshawa,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/vaughan,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/burnaby,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/ladner,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/saskatoon,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/barrie,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/winnipeg,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/locations/hamilton,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/toronto,6,"BreadcrumbList;ListItem;FAQPage;Question;Service;LocalBusiness,ProfessionalService;WebSite",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/burnaby,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/victoria,6,"BreadcrumbList;ListItem;FAQPage;Question;Service;LocalBusiness,ProfessionalService;WebSite",LocalBusiness/Service,YES,smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/surrey,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/halifax,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/oshawa,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/barrie,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/vaughan,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/kitchener,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/saskatoon,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/montreal,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,non-ascii: é | smart/non-ascii chars: — | smart/non-ascii chars: – | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/ladner,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/brampton,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/mississauga,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/north-york,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: — | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/seo/calgary,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/vancouver,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: –— | smart/non-ascii chars: – | smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/ottawa,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/edmonton,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/seo/london,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/seo/windsor,6,"BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",LocalBusiness/Service,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/electrician-website-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/google-ads-budget-guide,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/website-migration-seo-checklist,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/plumber-website-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/seo-cost-canada,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/website-redesign-without-losing-seo,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-to-rank-in-the-google-map-pack,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/realtor-website-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/squarespace-vs-wordpress-for-canadian-businesses,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/business-directories-canada,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/construction-company-website-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/wix-seo-setup-guide,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/restaurant-web-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/schema-markup-for-local-businesses,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/shopify-seo-checklist,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/lawyer-website-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/local-seo-checklist-for-small-businesses,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/wordpress-security-checklist,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-to-get-more-google-reviews,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/web-design-for-dentists,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/wordpress-speed-optimization,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-much-does-a-wordpress-website-cost,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: –— | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/web-design-and-maintenance-services-in-toronto-gta,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/website-design-near-me-finding-the-right-team-for-your-business,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/best-web-design-companies-near-me-how-to-choose-the-right-one,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/toronto-website-maintenance-seo-optimization-keeping-your-site-fast-secure-and-google-ready,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/search-engine-optimization-agency-toronto,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/5-essential-web-design-trends-from-canada-to-upgrade-your-website,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-to-optimise-your-canadian-website-for-local-search-and-customer-engagement,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/your-partner-for-exceptional-canadian-website-design-in-toronto-gta,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
